metric,mean,max,min,std
err_U,0.9846590780352393,1.0355618156843298,0.941049983914402,0.03559841967874512
err_u_x,8.262608310930855,18.464301036195987,4.796534452455269,3.996461086242053
err_u_y,3.3020398013467025,4.484993423154964,1.9362344719739926,0.6859347884321244
err_u_mag,6.069341657916653,13.105023138813044,3.504022869278419,2.7199796104491245
err_p,0.9774228403282951,1.0332288595219004,0.9365531623828651,0.037904620630289536
fom_time_s,0.4185582456000702,0.42771316600010323,0.40872133299944835,0.007358802557137151
rom_time_s,17.418042679000063,17.87025920799988,17.0316980839998,0.26582035090727124
speedup,0.024040275308821822,0.024866338541949126,0.022909721746911492,0.0007259563967741126
fom_iterations,3.0,3,3,0.0
rom_iterations,nan,nan,nan,nan
fom_dofs,6761,6761,6761,0.0
rom_dofs,166211,166211,166211,0.0
compression_ratio,0.04067721149623069,0.04067721149623069,0.04067721149623069,0.0
