metric,mean,max,min,std
err_U,0.12922354318322857,0.4240944524573318,0.04421208310298486,0.1125444400993171
err_u_x,0.1855923007384243,0.3240008179374778,0.02308745211195745,0.08843527300948639
err_u_y,0.21016938848896674,0.4232373473505136,0.03570709375459213,0.1045286015376866
err_u_mag,0.14746275580311488,0.23777929975544113,0.02223929184358636,0.06226583960768366
err_p,0.129213395012832,0.42420666558553916,0.04419183957274507,0.11257439483241975
fom_time_s,0.41385613738093524,0.42118308297358453,0.40064699994400144,0.0055957152920950125
rom_time_s,0.0004913292126730084,0.0007415419677272439,0.0004344999324530363,8.59397936967929e-05
speedup,860.8586782265165,969.3513197936086,564.806761031788,108.13514294680041
fom_iterations,3.0,3,3,0.0
rom_iterations,nan,nan,nan,nan
fom_dofs,6761,6761,6761,0.0
rom_dofs,49,49,49,0.0
compression_ratio,137.9795918367347,137.9795918367347,137.9795918367347,0.0
