metric,mean,max,min,std
err_U,0.006753315847076324,0.029399219443049004,0.0009043717134978282,0.009478814903216119
err_u_x,0.002012160022790409,0.008135677483158028,0.00016407511652145458,0.0023323546502110656
err_u_y,0.00267471686584176,0.008224239967667472,0.00032371184952573217,0.0021847628775483584
err_u_mag,0.0016172732767544482,0.005956112826136867,0.00014829220312620686,0.0016223102758652977
err_p,0.006754324096350024,0.029400004620188058,0.000905015249627993,0.009480172275135503
fom_time_s,0.39914923331234603,0.4017719170078635,0.397043582983315,0.001374877727562882
rom_time_s,0.0007721832953393459,0.0015812499914318323,0.0006029999349266291,0.0002915152865756892
speedup,564.6768083946108,659.4246846843369,251.42060721643216,130.9062071644455
fom_iterations,3.0,3,3,0.0
rom_iterations,3.0,3,3,0.0
fom_dofs,6761,6761,6761,0.0
rom_dofs,49,49,49,0.0
compression_ratio,137.9795918367347,137.9795918367347,137.9795918367347,0.0
